iso_code	sil_code	wals_code	population	raw_population
esu	ESU	ych	10000	10,000 (1995 M. Krauss). Ethnic population: 21,000 (1995 M. Krauss).
esu	ESU	yun	10000	10,000 (1995 M. Krauss). Ethnic population: 21,000 (1995 M. Krauss).
etr	ETR	edo	1668	1,668 (2000 census). 60% monolingual.
ets	ETS	ets	274000	274,000 (1995 UBS).
etu	ETU	eja	116675	67,281 in Nigeria (2000 WCD). Population total all countries: 116,675.
eus	BSQ	bsq	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqi	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqb	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqg	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqh	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bql	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqn	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqo	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqr	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqs	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eus	BSQ	bqz	588108	580,000 in Spain (1991 L. Trask U. of Sussex). There are 2,000,000 residents of the 3 provinces of Basque territory; 25% were born outside the territory, 40% in the territory were born to Basque parents. 4,400,000 in Spain have a Basque surname; 19% live in Basque country. Population total all countries: 588,108.
eve	EVE	evn	7543	7,543 (1989 census). Ethnic population: 17,199 (1989 census).
evn	EVN	eve	29000	19,000 in China (1999 Chaoke). 3,000 monolinguals. Population total all countries: 29,000. Ethnic population: 34,000 in China (1995 M. Krauss).
evn	EVN	sol	29000	19,000 in China (1999 Chaoke). 3,000 monolinguals. Population total all countries: 29,000. Ethnic population: 34,000 in China (1995 M. Krauss).
ewe	EWE	ewe	3112400	2,250,500 in Ghana (2003). Population total all countries: 3,112,400.
ewe	EWE	ewa	3112400	2,250,500 in Ghana (2003). Population total all countries: 3,112,400.
ewo	EWO	ewo	577700	577,700 (1982 SIL).
eya	EYA	eya	1	1 (1996 N. Barnes). Ethnic population: 50 (1995 M. Krauss).
faa	FAA	fas	1200	1,200 (1981 Wurm and Hattori). Population includes 750 Fasu, 300 Namuni, 150 Some.
fao	FAE	far	45400	45,400 (2001).
fap	FAP	plr	9680	9,680 (2002).
fcs	FCS	lsq	50000	50,000 to 60,000 (2000 SIL).
ffm	FUL	fum	919700	911,200 in Mali (1991). Population total all countries: 919,700.
fia	FIA	nob	495000	295,000 in Sudan (1996). Population total all countries: 495,000.
fij	FJI	fij	334061	330,441 in Fiji (1996 census). Population includes 10,000 in Kadavu (1,500 Nabukelevu), 20,000 in Northeast Viti Levu. Population total all countries: 334,061.
fin	FIN	fin	5232728	4,700,000 in Finland (1993). Population includes 30,000 speakers of Tornedalen Finnish. Population total all countries: 5,232,728.
fla	FLA	kls	200	200 (1997). Ethnic population: 6,800 (1997).
fmp	FMP	fef	123700	123,700 (1982 SIL).
foi	FOI	foe	2800	2,800 (1980 UBS).
fon	FOA	fon	1735500	1,700,000 in Benin (2000 Hoddenbagh). Population total all countries: 1,735,500.
for	FOR	for	17000	17,000 (1991 SIL).
fos	FOS	sry	Extinct	Extinct.
fra	FRN	fre	64858311	51,000,000 in France. Population total all countries: 64,858,311.
frd	FRD	frd	50000	50,000. Population includes 25,000 in the language area and 25,000 elsewhere (2000 C. Marshall).
fri	FRI	frw	700000	700,000 (1976 Stephens). Population includes 400,000 in Friesland, 300,000 elsewhere.
frr	FRR	fno	10000	10,000 (1976 Stephens). Ethnic population: 60,000 (1976 Stephens).
frs	FRS	fri	11000	11,000 in Germany (1976 Stephens).
frs	FRS	fea	11000	11,000 in Germany (1976 Stephens).
fse	FSE	fsl	5000	5,000 (1986 Gallaudet Univ.). Ethnic population: 8,000.
fsl	FSL	lsf	50000	50,000 to 100,000 primary users in France (1986 Gallaudet Univ.). 1,000 users of Marseille Sign Language (1975 Sallagooty).
fub	FUB	fua	886700	668,700 in Cameroon (1986). Possibly 13,000,000 speakers of all Fulfulde. Population total all countries: 886,700.
fub	FUB	fgo	886700	668,700 in Cameroon (1986). Possibly 13,000,000 speakers of all Fulfulde. Population total all countries: 886,700.
fuc	FUC	fma	3244020	2,387,340 in Senegal (2002). Population total all countries: 3,244,020.
fuc	FUC	fus	3244020	2,387,340 in Senegal (2002). Population total all countries: 3,244,020.
fud	FUD	fue	6600	3,600 on Futuna (1987). Population total all countries: 6,600.
fuf	FUF	fgu	2915784	2,550,000 in Guinea (1991 Vanderaa). Population total all countries: 2,915,784.
fuh	FUH	fli	1180000	400,000 in Niger (1998). Population total all countries: 1,180,000.
fuh	FUH	fbf	1180000	400,000 in Niger (1998). Population total all countries: 1,180,000.
fun	FUN	ful	2788	2,788 (1995 SIL).
fut	FUT	fut	600	600 (1981 Wurm and Hattori).
fuu	FUU	bgr	16000	12,000 in Democratic Republic of the Congo (1984 census). Population total all countries: 16,000.
fuv	FUV	fni	1707926	1,707,926 in Nigeria (2000 WCD). Population includes 340,000 in Sokoto.
fvr	FUR	fur	501800	500,000 in Sudan (1983 Bender). Population total all countries: 501,800.
fwa	FWA	poa	1131	1,131 (1996 census).
gaa	GAC	ga	600000	600,000 (2004 SIL).
gae	GAE	wrk	705	367 in Venezuela. Population total all countries: 705.
gag	GAG	gag	150000	138,000 in Moldova (2000). Population total all countries: 150,000.
gah	GAH	gah	25000	25,000 (1999 SIL).
gaj	GAJ	gds	22061	22,061 (2000 census).
gax	GAX	orb	3827616	3,634,000 in Ethiopia. Population total all countries: 3,827,616.
gay	GYO	gay	180000	180,000 (1989).
gaz	GAZ	owc	8920000	8,920,000 in Ethiopia (1998 census). Ethnic population: All ethnic Oromo are 30,000,000 in Ethiopia.
gbc	GBC	grr	200	200 (1990 Schmidt). There may be 10 speakers of the Wanji dialect (2000 Nick Adams).
gbd	GBD	krj	12	12 (1991 SIL).
gbi	GBI	gll	79000	79,000 (1990 SIL). Population includes 41,000 Kadai, 10,000 Kadina, 24,000 Morotai, and 4,000 Sopi.
gbj	GBJ	gdb	8000	8,000 (2000).
gbp	GBP	gbb	176000	176,000 (1996).
gbr	GBR	gwa	700000	700,000 (1991 SIL).
gbu	GBU	gaa	6	6 (1981 Wurm and Hattori).
gby	GBY	gwa	350000	350,000 (2002 SIL).
gcc	GCC	mli	2200	2,200 (1988 SIL).
gcd	GCD	yuk	5	5 (1981 Wurm and Hattori).
gcr	FRE	gfr	50000	50,000 (1977 SIL).
gde	GDE	gud	96000	68,000 in Nigeria (1987). Population total all countries: 96,000.
gdf	GDF	gdf	55918	55,918 (2000 WCD).
gdm	GDM	laa	749	749 (2000 WCD). Damtar village had its own dialect, called 'Laabe' with 3 speakers left in 1977.
gdo	GDO	god	3000	3,000 (1996). Ethnic population: 2,500 (1990 Kibrik).
geb	GEB	kie	2419	2,419 (2003 SIL).
ged	GED	gad	72100	72,100 (2000).
gey	GEY	eny	15000	15,000 (2000).
gfk	GFK	ptp	7000	7,000 (1998 SIL).
gge	GGE	grg	20	20 (1990 Schmidt).
ggn	GGN	gur	105000	105,000 (1991 census). 227,918 all Gurung languages in Nepal (1991 census).
ggo	GGO	gon	250000	250,000 (2000).
ggw	GOH	gog	10000	10,000 (1991 UBS).
ghl	GHL	nbh	16000	16,000 (1984 R. C. Stevenson).
ghs	GHS	guh	12761	12,761 (2000 census).
gia	GIA	kij	100	100 (1983 Black).
gid	GID	gdr	65687	54,000 in Cameroon (1982 SIL). Population total all countries: 65,687.
gil	GLB	krb	67790	58,320 in Kiribati (1987). Population total all countries: 67,790.
gin	GIN	hnk	200	200 (1991 Kibrik). Ethnic population: 300 (1990 Kibrik).
gis	GIS	giz	20000	20,000 (1982 SIL).
git	GIT	git	400	400 (1999 Jay Powell). Population includes 220 in the west, 180 in the east.
giz	GIZ	giz	60000	60,000 (1991 UBS).
gju	GJU	goj	992315	690,315 in India (2000 WCD). Population total all countries: 992,315. Ethnic population: 1,600,000 (2002) in Uttar Pradesh, Haryana, Madhya Pradesh, Rajasthan, Maharashtra, Gujarat, Punjab, Delhi.
gkn	GKN	gok	100000	100,000 (1989).
gla	GLS	gae	62175	58,650 in United Kingdom (2003 census). Population total all countries: 62,175.
gld	GLD	nai	5772	5,760 in Russia (1990 census). Population total all countries: 5,772. Ethnic population: 11,877 in Russia.
gle	GLI	iri	355000	260,000 in Ireland (1983 census). Population total all countries: 355,000.
gle	GLI	ird	355000	260,000 in Ireland (1983 census). Population total all countries: 355,000.
gle	GLI	irm	355000	260,000 in Ireland (1983 census). Population total all countries: 355,000.
glg	GLN	glc	3188400	3,173,400 in Spain (1986). Population total all countries: 3,188,400.
glj	GLJ	gir	3500	3,500 (1991 SIL). Population includes 2,000 Pongaal, 725 Tiaala, 200 (?) Tiitaal, 350 Patool, 165 Korintal.
glk	GLK	gil	3265000	3,265,000 (1993). Population includes 2,000 Galeshi.
glu	GLU	gul	10251	10,251 (2000 WCD).
glv	MJD	mnx	Extinct	Extinct. Ethnic population: On the Isle of Man: 77,000 residents (1998 UN).
gmo	GMO	gam	1236637	1,236,637 (1998 census). 1,046,084 monolinguals including 597,130 Gamo, 259,633 Dawro, 189,321 Gofa. Population includes 690,069 Gamo, 313,228 Dawro, 233,340 Gofa. Ethnic population: 1,292,860 (1998 census) including 719,847 Gamo, 331,483 Dawro, 241,530 Gofa (1998 census).
gmo	GMO	kul	1236637	1,236,637 (1998 census). 1,046,084 monolinguals including 597,130 Gamo, 259,633 Dawro, 189,321 Gofa. Population includes 690,069 Gamo, 313,228 Dawro, 233,340 Gofa. Ethnic population: 1,292,860 (1998 census) including 719,847 Gamo, 331,483 Dawro, 241,530 Gofa (1998 census).
gni	GNI	goo	100	100 (1990 Schmidt).
gnn	GNN	gmt	300	300 (1983 Black).
gno	GON	gon	1954000	1,954,000 Betul (1997). 2,632,000 all Gondi.
gnr	GNR	ggu	Extinct	Extinct.
goa	GOA	gro	332100	332,100 (1993 SIL).
gob	GOB	pla	244	244 (2000 WCD).
god	GOD	gdi	26448	26,448 (1993 SIL).
gol	GOL	gol	107300	99,300 in Liberia (1991 Vanderaa). Population total all countries: 107,300.
gor	GRL	grt	900000	900,000 (1989).
gow	GOW	gor	50000	50,000 (1999 R. Kiessling).
gpn	GPN	tap	80	80 (2000 S. Wurm).
gqa	GAA	gnd	43000	43,000 (1992).
grt	GRT	gar	677000	575,000 in India (1997). Population total all countries: 677,000.
gru	GRU	sod	254682	254,682 (1998 census). Ethnic population: 363,867 (1998 census) including 4,000 Gogot.
gry	GRY	grb	23700	23,700 (1991 Vanderaa). 387,000 all Grebo languages in Liberia (2001 Johnstone and Mandryk).
gsg	GSG	dge	50000	50,000 (1986 Gallaudet Univ.). Population includes 22,000 members of German Deaf Association.
gss	GSS	gsl	42600	42,600 (1986 Gallaudet Univ.).
gsw	GSW	alt	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gsw	GSW	gpz	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gsw	GSW	gbe	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gsw	GSW	gos	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gsw	GSW	gtg	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gsw	GSW	gzu	6044000	4,215,000 in Switzerland (1990 census). Population total all countries: 6,044,000.
gta	GTA	gto	40	40 (1993 SIL). Ethnic population: 382 (1993 SIL).
gub	GUB	gjj	15000	15,000 (2000 SIL).
guc	GUC	goa	305000	135,000 in Colombia (1995 SIL). Population total all countries: 305,000.
gue	GUE	gji	250	250 (1983 Black). Population includes 400 partial speakers.
gug	GUG	gua	4848000	4,648,000 in Paraguay (1995). Population total all countries: 4,848,000.
guh	GUH	ghb	23772	18,772 in Colombia (1993 census). 40% monolingual. Population total all countries: 23,772. Ethnic population: 21,425 in Colombia (1998 Arango and Sánchez).
guh	GUH	skn	23772	18,772 in Colombia (1993 census). 40% monolingual. Population total all countries: 23,772. Ethnic population: 21,425 in Colombia (1998 Arango and Sánchez).
gui	GUI	crg	48974	33,670 in Bolivia (2000 W. Adelaar). Population total all countries: 48,974. Ethnic population: 36,917 in Bolivia (2000 W. Adelaar).
guj	GJR	guj	46106136	45,479,000 in India (1997). Population total all countries: 46,106,136.
guk	GUK	gmz	160424	120,424 in Ethiopia (1998 census). 88,192 monolinguals. Population total all countries: 160,424. Ethnic population: 121,487 (1998 census).
gum	GUM	gmb	15596	15,596 (2000 WCD). Less than 10% monolinguals. Ethnic population: 12,000 to 15,000 (2000).
guo	GUO	gyb	1237	1,237 (1993 census). Ethnic population: 1,237 (1993).
gup	GUP	bbw	1511	1,511 (2000 WCD).
guq	GUQ	ach	1500	1,500 (2002).
gur	GUR	grn	845100	820,000 in Ghana (2003). Population includes up to 656,000 in the Upper East Region, and at least 164,000 in various towns and cities in other regions (2003). Population total all countries: 845,100.
gux	GUX	grm	812500	600,000 in Burkina Faso (1999 SIL). Population total all countries: 812,500.
gux	GUX	gut	812500	600,000 in Burkina Faso (1999 SIL). Population total all countries: 812,500.
guz	GUZ	gus	1582000	1,582,000 (1994 I. Larsen BTL).
gva	GVA	gna	55	55 (2002 Adelaar). Ethnic population: 406 to 3,000 (2000 Adelaar).
gvc	GVC	gno	1000	550 in Brazil (1995 AMTB). Population total all countries: 1,000.
gvf	GVF	gln	51105	51,105 (1981 Wurm and Hattori).
gvn	GVN	kya	700	700 (2000 SIL).
gvo	GVO	gav	472	472 (2002 SIL).
gvr	GVR	gur	72082	72,000 in Nepal (1991 census). Population total all countries: 72,082.
gvs	GVS	gmw	469	469 (2000 census). 50% monolingual.
gwc	GWC	kal	40000	40,000 (1987).
gwd	GWD	dug	32698	32,698 (1998 census). 27,477 monolinguals. Ethnic population: 33,971 (1998 census).
gwi	KUC	kth	730	430 in Canada (1998 Statistics Canada). Population includes 300 in Northwest Territories, and 100 in Yukon (1995 M. Krauss). Population total all countries: 730. Ethnic population: 1,900 including 1,500 in Northwest Territories, 400 in Yukon (1995 M. Krauss).
gww	GWW	gnn	50	50 (1979 Black).
gxx	GXX	gue	292500	292,500 (1999 SIL). Population includes 20,000 Niao (1995 SIL).
gya	GYA	gbk	267000	200,000 in Central African Republic (1996). Population total all countries: 267,000 to 282,000.
gyb	GYB	grs	2652	2,652 (2003 SIL).
gyd	GYD	kay	6	6 (2000 Evans). Ethnic population: 150.
gym	GYM	nbr	133092	128,000 in Panama (1990 census). Population total all countries: 133,092.
gyy	GYY	gny	3	3 (1981 Wurm and Hattori).
hac	HAC	hwr	44047	21,099 in Iraq (2000 WCD). Several hundred thousand for group of Gurani speakers in both Iraq and Iran (Blau 1989). Population total all countries: 44,047.
had	HAD	hat	16000	16,000 (1993 TEAM).
hae	HAE	orh	4526000	4,526,000 (1998 census).
hak	HAK	hak	29937959	25,725,000 in mainland China (1984). Population total all countries: 29,937,959.
hal	HAL	hln	17500	13,500 in Viet Nam (2000). Population total all countries: 17,500.
har	HAR	hrr	21283	21,283 (1998 census). 2,351 monolinguals. 20,000 in Addis Ababa, outside Harar city (Hetzron 1997:486). Ethnic population: 21,757 (1998 census).
has	HAS	hsl	25	25 (1991 M. Dale Kinkade). Ethnic population: 1,000 (1977 SIL).
hat	HAT	hcr	7389066	6,964,549 in Haiti (2001). Population total all countries: 7,389,066.
hau	HUA	hau	24162000	18,525,000 in Nigeria (1991 SIL). Population total all countries: 24,162,000.
haw	HWI	haw	1000	1,000. 500 with Ni'ihau Island connections, another 500 in their 70s or 80s (1995 Laina Wong Univ. of Hawaii). 8,000 can speak and understand it (1993 Keith Haugen). In 1900 there were 37,000 first-language speakers (1995 Honolulu Advertiser). Ethnic population: 400,000 in Hawaii (2003 Office of Hawaiian Affairs), 18.8% of the population (1990 Hawaii State Dept. of Health), and 99,269 ethnic Hawaiians on the USA mainland (1990 census), including 24,245 in California. Ethnic Hawaiians include 8,244 pure Hawaiian, 72,809 between 50% and 99% Hawaiian, 127,523 less than 50% Hawaiian in Hawaii (1984 Office of Hawaiian Affairs). In 1778 there were believed to have been more than 500,000 pure Hawaiians (1995 Wayne Harada).
hax	HAX	hai	10	10 (1995 M. Krauss). Ethnic population: 500 (1995 M. Krauss).
hay	HAY	hya	1200000	1,200,000 (1991 UBS).
hbb	KIR	klb	175000	175,000 (1992).
hch	HCH	hui	20000	20,000 (1990 census). Ethnic population: 20,000.
hdn	HAI	hai	45	30 in Canada (1995 M. Krauss). Population total all countries: 45. Ethnic population: 1,100 in Canada (1995 M. Krauss).
hdn	HAI	hno	45	30 in Canada (1995 M. Krauss). Population total all countries: 45. Ethnic population: 1,100 in Canada (1995 M. Krauss).
heb	HBR	heb	5055000	4,847,000 in Israel (1998). Population total all countries: 5,055,000.
heb	HBR	hba	5055000	4,847,000 in Israel (1998). Population total all countries: 5,055,000.
heh	HEH	heh	750000	750,000 (1994 UBS).
hei	HEI	hei	300	300 (1991 M. Dale Kinkade). Ethnic population: 1,200 (1977 SIL).
hem	HEM	hem	180958	180,958 (2000 WCD).
her	HER	her	133000	113,000 in Namibia (1991 census). Population total all countries: 133,000.
hia	HIA	lmg	40000	40,000 (1993).
hid	HID	hid	100	100 (1986 SIL). 6 monolinguals. 25 to 50 semifluent speakers. Ethnic population: 1,200 (1986 SIL).
hil	HIL	hil	7000000	7,000,000 in the Philippines (1995).
hin	HND	hin	180764791	180,000,000 in India (1991 UBS). Population total all countries: 180,764,791. Ethnic population: 363,839,000 (1997 IMA).
hix	HIX	hix	600	600 (2000 SIL). Population includes 89 Xereuyana (1986 SIL). Ethnic population: 600 (2000).
hke	HKE	hnd	200000	200,000 (1980 UBS).
hla	HLA	hal	20000	20,000 (1994 SIL).
hlb	HLB	hlb	500000	500,000 (2000).
hmr	HMR	hma	50000	50,000 (1997).
hmt	HMT	ham	45000	45,000 (1998 Tom Palmer).
hnh	HNH	ani	1000	1,000 (1997 Brenzinger).
hni	HNI	han	518657	500,000 in China (1990 Svantesson). 60% of the official nationality are monolingual. Population total all countries: 518,657.
hnn	HNN	hnn	13020	13,020 (2000 WCD).
hoa	HOA	hoa	459	459 (1999 SIL).
hoc	HOC	ho	1077000	1,077,000 in India (1997). Population includes 444,000 in Singhbhum, 200,000 in Oriya (1990 UBS).
hoo	HOO	hol	15500	15,500 (2002).
hop	HOP	hop	5264	5,264 (1990 census). 40 monolinguals. Ethnic population: 6,500 (1977 SIL).
hre	HRE	hre	113111	113,111 (1999 census).
hsb	WEN	srb	15000	15,000 (1996). Ethnic population: 70,000 to 110,000 with Lower Sorbian (1999 Ken Sasahara).
hsb	WEN	sou	15000	15,000 (1996). Ethnic population: 70,000 to 110,000 with Lower Sorbian (1999 Ken Sasahara).
hsf	HAU	htc	1749	1,749 (1990 census).
hss	HSS	hrs	1000	1,000 to 2,000 (1998 H. Mutzafi).
hto	HTO	htt	1705	1,700 in Colombia (1995 SIL). Population total all countries: 1,705.
hto	HTO	hmi	1705	1,700 in Colombia (1995 SIL). Population total all countries: 1,705.
hts	HTS	had	800	800 (2000 Brenzinger). Ethnic population: 800.
hub	HUB	hmb	9333	9,333 (2000 WCD).
hun	HNG	hun	13611600	10,298,820 in Hungary (1995). Population total all countries: 13,611,600.
hup	HUP	hup	8	8 (1998 Brook). Ethnic population: 2,000.
huq	HUQ	tst	3800	3,800 (1999 Zheng Yiqing). Ethnic population: 5,000 (2000 D. Bradley).
hur	HUR	hlk	225	200 in Canada (2002 Poser). Population total all countries: 225. Ethnic population: 6,700 (1977 SIL).
huu	HUU	hum	2900	1,000 in Peru (1995 SIL). Very few monolinguals. Population total all countries: 2,900.
huv	HUV	hve	12000	12,000 (1990 census). 1,800 monolinguals.
hux	HUX	hmu	100	100 (1991 SIL).
huz	HUZ	hzb	2000	2,000 (1995 H. Ven den Berg). Ethnic population: 2,000.
hvn	HVN	saw	110000	110,000 (1997). Population includes 15,000 to 25,000 outside of Sabu (1981 Wurm and Hattori).
hwc	HAW	hwc	600000	600,000 (1986 Forman). Population includes 100,000 to 200,000 who have low proficiency in Standard English and near Standard English (1986 Forman). Another 100,000 speakers on the USA mainland.
hye	ARM	arm	6723840	3,399,903 in Armenia (2001 Johnstone and Mandryk). Population total all countries: 6,723,840.
hye	ARM	arz	6723840	3,399,903 in Armenia (2001 Johnstone and Mandryk). Population total all countries: 6,723,840.
hye	ARM	arw	6723840	3,399,903 in Armenia (2001 Johnstone and Mandryk). Population total all countries: 6,723,840.
iai	IAI	iaa	1562	1,562 (1996 census).
ian	IAN	iat	8442	8,442 (2003 SIL).
iba	IBA	iba	415000	400,000 in Malaysia (1995 Martin). Population total all countries: 415,000.
ibb	IBB	ibi	1500000	1,500,000 to 2,000,000 (1998 B. Connell).
ibd	IBD	iwa	150	150 (2000 N. Evans).
ibg	IBG	ibn	500000	500,000 (1990 SIL).
ibo	IGR	igb	18000000	18,000,000 (1999 WA).
icl	ICL	ics	No	No estimate available.
idu	IDO	ido	600000	600,000 (1991 UBS).
ifb	IFB	ifu	43000	43,000 (1987 SIL).
ifm	IFM	ifm	8150	8,150 (2000 WCD).
igb	IGB	ebi	1000000	1,000,000 (1989 J. Adive). About 90% are monolingual.
ige	IGE	ige	250000	250,000 (1991 UBS).
ign	IGN	ign	4500	4,500 (2000 SIL). Ethnic population: 20,805 with Trinitario (2000 W. Adelaar).
ihp	IHP	iha	5500	5,500 (1987 SIL).
ijc	IJC	ijo	1000000	1,000,000 (1989 Williamson). Population includes 100,000 Kolokuma (1991 UBS). 1,770,000 all Ijo languages.
ike	ESB	iql	14000	14,000 (1991 L. Kaplan). Ethnic population: 17,500 (1991 L. Kaplan).
ike	ESB	ins	14000	14,000 (1991 L. Kaplan). Ethnic population: 17,500 (1991 L. Kaplan).
ikt	ESC	inr	4000	4,000 (1981). All Inuit first-language speakers in Canada 18,840 (1981 census). Ethnic population: 7,500 (1981 census).
ikt	ESC	kgt	4000	4,000 (1981). All Inuit first-language speakers in Canada 18,840 (1981 census). Ethnic population: 7,500 (1981 census).
ikx	IKX	ik	2000	2,000 (1972 C. Turnbull).
ilb	ILB	ila	61200	61,200 (1986).
ilo	ILO	ilo	8000000	8,000,000 in the Philippines (1991 UBS).
imi	IMI	amx	1253	1,253 (1990 census).
imn	IMN	imo	250	250 (1994 SIL).
inb	INB	iga	16000	12,000 in Colombia (2000 SIL). Population total all countries: 16,000. Ethnic population: 17,860.
ind	INZ	ind	23143354	22,803,774 in Indonesia (2000 WCD). Population total all countries: 23,143,354.
ind	INZ	iir	23143354	22,803,774 in Indonesia (2000 WCD). Population total all countries: 23,143,354.
ind	INZ	inj	23143354	22,803,774 in Indonesia (2000 WCD). Population total all countries: 23,143,354.
ing	ING	dgx	20	20 to 30 (1997 Sharon Hargus). Ethnic population: 250 to 300 (1997 M. Krauss).
inh	INH	ing	230315	230,315 in Russia (1989 census). Ethnic population: 237,438.
ins	INS	ipi	2680000	2,680,000 in India (2003).
inz	INE	cin	Extinct	Extinct.
iow	IOW	oto	Extinct	Extinct. Ethnic population: 2,400, including 1,000 Iowa, 1,400 Oto (1986 SIL).
iqu	IQU	iqu	35	35 (2002 SIL). 1 monolingual. Ethnic population: 500.
irh	IRH	irr	4000	4,000 (1987 SIL).
irk	IRK	irq	462000	462,000 (2001 Johnstone and Mandryk).
irn	IRA	irx	191	191 (1995 AMTB).
isd	ISD	isn	30000	30,000 (1994 SIL).
ise	ISE	lii	No	No estimate available.
isg	ISG	irs	No	No estimate available.
isi	ISI	nke	34500	34,500 (1987 Asinya). Population includes 18,000 Nkem, 16,500 Nkum.
isl	ICE	ice	239768	230,000 in Iceland (1980 WA). Population total all countries: 239,768.
iso	ISO	iso	423000	423,000 (2001 Johnstone and Mandryk).
isr	ISL	iss	5000	5,000 users including some hearing persons (1986 Gallaudet Univ.).
ita	ITN	ita	61489984	55,000,000 in Italy. Population includes some of whom are native bilinguals of Italian and regional varieties, and some of whom may use Italian as second language. Population total all countries: 61,489,984.
ita	ITN	ifi	61489984	55,000,000 in Italy. Population includes some of whom are native bilinguals of Italian and regional varieties, and some of whom may use Italian as second language. Population total all countries: 61,489,984.
itl	ITL	ite	60	60 (2000). Ethnic population: 2,481 (1989 census).
ito	ITO	ito	10	10 (2000 Crevels). Ethnic population: 5,090 (2000 W. Adelaar).
its	ITS	ise	510000	510,000 (1991 UBS).
itv	ITV	itw	134126	134,126 (1990 census). Population includes 119,584 Itawit, 14,542 Malaweg.
itz	ITZ	itz	12	12 (1986 SIL). Ethnic population: 1,800 (2001).
ium	IUM	mie	818685	383,000 in China (1995 Wang and Mao). Population total all countries: 818,685.
ivv	IVV	iva	35000	35,000 (1998 SIL). Population includes 3,448 Itbayatan (1996 census).
ivv	IVV	ivs	35000	35,000 (1998 SIL). Population includes 3,448 Itbayatan (1996 census).
iwm	IWM	iwm	3000	3,000 (1998 NTM).
ixc	IXC	ixc	119	119 (1983 Jorge Suárez).
ixi	IXI	ixi	35000	35,000 (1991 SIL).
ixl	IXL	ixi	16000	16,000 (1998 SIL).
izh	IZH	izh	302	302 (1989 census). Ethnic population: 820 (1989 census).
izi	IZI	izi	593000	593,000 (1973 SIL). Population includes 200,000 Izi, 180,000 Ezaa, 150,000 Ikwo, 63,000 Mgbo.
jaa	JAA	jmm	195	195 (1994 SIL). Population includes 12 Mamoria.
jac	JAC	jak	11000	11,000 (1998 SIL).
jae	JAE	jab	2084	2,084 (1978 McElhanon).
jai	JAI	jak	88000	77,700 in Guatemala (1998). Population total all countries: 88,000.
jam	JAM	jcr	3181171	2,665,636 in Jamaica (2001). Population total all countries: 3,181,171.
jao	JAO	yny	70	70 to 100 (1990 Schmidt). Ethnic population: 113 (2000 WCD).
jap	JAP	jwr	155	155 (2000 SIL).
